incident_id,case_number,incident_datetime,incident_type_primary,incident_description,clearance_type,address_1,address_2,city,state,zip,country,latitude,longitude,created_at,updated_at,location,hour_of_day,day_of_week,parent_incident_type,University of Virginia Public Engines Shapes - srfu-ji83
829424631,2016-00000294,3/18/16 9:06,BURGLARY/B&E,BURGLARY/B&E,,200 Block MASSIE RD,,CHARLOTTESVILLE,VA,22903,,38.0458774,-78.5066485,12/20/17 18:23,12/20/17 22:16,POINT (-78.5066485 38.0458774),9,Friday,Breaking & Entering,361237
829424630,2016-00000295,3/18/16 12:10,BURGLARY/B&E,BURGLARY/B&E,,200 Block MCCORMICK RD,,CHARLOTTESVILLE,VA,22903,,38.0341901,-78.5064437,12/20/17 18:23,12/20/17 22:16,POINT (-78.50644369999999 38.0341901),12,Friday,Breaking & Entering,361237
829424819,2016-00000304,3/19/16 23:45,THEFT FROM MOTOR VEHICLE,THEFT FROM MOTOR VEHICLE,,1200 Block LEE STREET,,CHARLOTTESVILLE,VA,22908,,38.0319188,-78.49866,12/20/17 18:23,12/20/17 22:16,POINT (-78.49866 38.0319188),23,Saturday,Theft from Vehicle,
829424946,2016-00000307,3/20/16 13:45,LARCENY:OTHER,LARCENY:OTHER,,1 Block EAST LAWN,,CHARLOTTESVILLE,VA,22903,,38.016291,-78.5100079,12/20/17 18:23,12/20/17 22:16,POINT (-78.51000789999999 38.016291),13,Sunday,Theft,
829424767,2016-00000317,3/22/16 17:50,THEFT FROM BUILDING,THEFT FROM BUILDING,,300 Block MASSIE RD,,CHARLOTTESVILLE,VA,22903,,38.045308,-78.509846,12/20/17 18:23,12/20/17 22:16,POINT (-78.50984600000001 38.045308),17,Tuesday,Theft,361237
829425276,2016-00000324,3/23/16 12:17,DISORDERLY CONDUCT,DISORDERLY CONDUCT,,1200 Block LEE ST,,CHARLOTTESVILLE,VA,22908,,38.0311849,-78.4988225,12/20/17 18:23,12/20/17 22:16,POINT (-78.4988225 38.0311849),12,Wednesday,Disorder,
829425583,2016-00000320,3/23/16 15:17,TRESPASS ON REAL PROPERTY,TRESPASS ON REAL PROPERTY,,1200 Block LEE ST,,CHARLOTTESVILLE,VA,22908,,38.0311849,-78.4988225,12/20/17 18:23,12/20/17 22:16,POINT (-78.4988225 38.0311849),15,Wednesday,Property Crime,
829424447,2016-00000332,3/25/16 3:15,AGGRAVATED ASSAULT,AGGRAVATED ASSAULT,,1500 Block UNIVERSITY AVENUE,,CHARLOTTESVILLE,VA,22903,,38.0349343,-78.5002958,12/20/17 18:23,12/20/17 22:16,POINT (-78.5002958 38.0349343),3,Friday,Assault,
829425582,2016-00000334,3/25/16 6:59,TRESPASS ON REAL PROPERTY,TRESPASS ON REAL PROPERTY,,300 Block MASSIE ROAD,,CHARLOTTESVILLE,VA,22903,,38.045308,-78.509846,12/20/17 18:23,12/20/17 22:16,POINT (-78.50984600000001 38.045308),6,Friday,Property Crime,361237
829425013,2016-00000339,3/25/16 15:30,MOTOR VEHICLE THEFT,MOTOR VEHICLE THEFT,,500 Block MCCORMICK RD,,CHARLOTTESVILLE,VA,22903,,38.033211,-78.5174883,12/20/17 18:23,12/20/17 22:16,POINT (-78.5174883 38.033211),15,Friday,Theft of Vehicle,361237
829424775,2016-00000353,3/28/16 8:29,THEFT FROM BUILDING,THEFT FROM BUILDING,,500 Block MASSIE ROAD,,CHARLOTTESVILLE,VA,22903,,38.051927,-78.510339,12/20/17 18:23,12/20/17 22:16,POINT (-78.510339 38.051927),8,Monday,Theft,361237
829424774,2016-00000354,3/28/16 9:00,THEFT FROM BUILDING,THEFT FROM BUILDING,,500 Block MASSIE ROAD,,CHARLOTTESVILLE,VA,22903,,38.051927,-78.510339,12/20/17 18:23,12/20/17 22:16,POINT (-78.510339 38.051927),9,Monday,Theft,361237
829424464,2016-00000357,3/29/16 17:30,SIMPLE ASSAULT,SIMPLE ASSAULT,,1200 Block LEE STREET,,CHARLOTTESVILLE,VA,22908,,38.0311849,-78.4988225,12/20/17 18:23,12/20/17 22:16,POINT (-78.4988225 38.0311849),17,Tuesday,Assault,
829424941,2016-00000363,3/30/16 15:40,LARCENY:OTHER,LARCENY:OTHER,,500 Block FLOYD DRIVE,,CHARLOTTESVILLE,VA,22903,,38.0293822,-78.5177196,12/20/17 18:23,12/20/17 22:16,POINT (-78.51771959999999 38.0293822),15,Wednesday,Theft,361237
829424463,2016-00000364,3/30/16 16:00,SIMPLE ASSAULT,SIMPLE ASSAULT,,1200 Block LEE ST,,CHARLOTTESVILLE,VA,22908,,38.0319188,-78.49866,12/20/17 18:23,12/20/17 22:16,POINT (-78.49866 38.0319188),16,Wednesday,Assault,
829425581,2016-00000370,4/1/16 3:33,TRESPASS ON REAL PROPERTY,TRESPASS ON REAL PROPERTY,,1800 Block UNIVERSITY AVE,,CHARLOTTESVILLE,VA,22903,,38.034081,-78.504633,12/20/17 18:23,12/20/17 22:16,POINT (-78.504633 38.034081),3,Friday,Property Crime,361237
829425580,2016-00000376,4/1/16 22:40,TRESPASS ON REAL PROPERTY,TRESPASS ON REAL PROPERTY,,1400 Block UNIVERSITY AVE,,CHARLOTTESVILLE,VA,22903,,38.0340277,-78.5000549,12/20/17 18:23,12/20/17 22:16,POINT (-78.5000549 38.0340277),22,Friday,Property Crime,361237
829425579,2016-00000377,4/2/16 4:24,TRESPASS ON REAL PROPERTY,TRESPASS ON REAL PROPERTY,,1200 Block LEE ST,,CHARLOTTESVILLE,VA,22908,,38.0319188,-78.49866,12/20/17 18:23,12/20/17 22:16,POINT (-78.49866 38.0319188),4,Saturday,Property Crime,
829424943,2016-00000380,4/2/16 11:30,LARCENY:OTHER,LARCENY:OTHER,,1200 Block LEE ST,,CHARLOTTESVILLE,VA,22908,,38.0311849,-78.4988225,12/20/17 18:23,12/20/17 22:16,POINT (-78.4988225 38.0311849),11,Saturday,Theft,
829424942,2016-00000383,4/3/16 17:20,LARCENY:OTHER,LARCENY:OTHER,,500 Block MCCORMICK RD,,CHARLOTTESVILLE,VA,22903,,38.034771,-78.5166524,12/20/17 18:23,12/20/17 22:16,POINT (-78.5166524 38.034771),17,Sunday,Theft,361237
829425239,2016-00000384,4/3/16 21:18,DRUG/NARCOTICS VIOLATIONS,DRUG/NARCOTICS VIOLATIONS,,1000 Block EMMET ST N,,CHARLOTTESVILLE,VA,22903,,38.0502656,-78.5024837,12/20/17 18:23,12/20/17 22:16,POINT (-78.5024837 38.0502656),21,Sunday,Drugs,
829424627,2016-00000387,4/4/16 11:33,BURGLARY/B&E,BURGLARY/B&E,,100 Block DARDEN BLVD,,CHARLOTTESVILLE,VA,22901,,38.0524204,-78.5137818,12/20/17 18:23,12/20/17 22:16,POINT (-78.51378179999999 38.0524204),11,Monday,Breaking & Entering,361237
829424460,2016-00000391,4/6/16 11:35,SIMPLE ASSAULT,SIMPLE ASSAULT,,1200 Block LEE STREET,,CHARLOTTESVILLE,VA,22908,,38.0311849,-78.4988225,12/20/17 18:23,12/20/17 22:16,POINT (-78.4988225 38.0311849),11,Wednesday,Assault,
829424776,2016-00000393,4/7/16 20:55,THEFT FROM BUILDING,THEFT FROM BUILDING,,200 Block EMMET ST,,CHARLOTTESVILLE,VA,22903,,38.0374763,-78.5071495,12/20/17 18:23,12/20/17 22:16,POINT (-78.5071495 38.0374763),20,Thursday,Theft,361237
829424461,2016-00000395,4/8/16 9:00,SIMPLE ASSAULT,SIMPLE ASSAULT,,500 Block FLOYD DRIVE,,CHARLOTTESVILLE,VA,22903,,38.0295235,-78.5178057,12/20/17 18:23,12/20/17 22:16,POINT (-78.5178057 38.0295235),9,Friday,Assault,361237
829424955,2016-00000410,4/11/16 18:15,LARCENY:OTHER,LARCENY:OTHER,,1800 Block UNIVERSITY AVE,,CHARLOTTESVILLE,VA,22903,,38.034081,-78.504633,12/20/17 18:23,12/20/17 22:16,POINT (-78.504633 38.034081),18,Monday,Theft,361237
829424777,2016-00000411,4/11/16 23:30,THEFT FROM BUILDING,THEFT FROM BUILDING,,1 Block SOUTH LAWN,,CHARLOTTESVILLE,VA,22903,,38.030846,-78.504662,12/20/17 18:23,12/20/17 22:16,POINT (-78.504662 38.030846),23,Monday,Theft,
829424625,2016-00000414,4/12/16 11:15,BURGLARY/B&E,BURGLARY/B&E,,1200 Block LEE ST,,CHARLOTTESVILLE,VA,22908,,38.0311849,-78.4988225,12/20/17 18:23,12/20/17 22:16,POINT (-78.4988225 38.0311849),11,Tuesday,Breaking & Entering,
829425241,2016-00000416,4/12/16 20:00,DRUG/NARCOTICS VIOLATIONS,DRUG/NARCOTICS VIOLATIONS,,400 Block MCCORMICK ROAD,,CHARLOTTESVILLE,VA,22904,,38.0352051,-78.5141877,12/20/17 18:23,12/20/17 22:16,POINT (-78.5141877 38.0352051),20,Tuesday,Drugs,361237
829425596,2016-00000418,4/13/16 9:50,TRESPASS ON REAL PROPERTY,TRESPASS ON REAL PROPERTY,,100 Block WAHOO WAY,,CHARLOTTESVILLE,VA,22903,,38.0078072,-78.5169756,12/20/17 18:23,12/20/17 22:16,POINT (-78.5169756 38.00780719999999),9,Wednesday,Property Crime,
829424623,2016-00000424,4/14/16 14:50,BURGLARY/B&E,BURGLARY/B&E,,1200 Block LEE STREET,,CHARLOTTESVILLE,VA,22908,,38.0311849,-78.4988225,12/20/17 18:23,12/20/17 22:16,POINT (-78.4988225 38.0311849),14,Thursday,Breaking & Entering,
829425595,2016-00000429,4/14/16 23:19,TRESPASS ON REAL PROPERTY,TRESPASS ON REAL PROPERTY,,HOSPITAL DRIVE,,CHARLOTTESVILLE,VA,22903,,38.0341042,-78.5021748,12/20/17 18:23,12/20/17 22:16,POINT (-78.50217479999999 38.0341042),23,Thursday,Property Crime,361237
829425592,2016-00000432,4/15/16 4:59,TRESPASS ON REAL PROPERTY,TRESPASS ON REAL PROPERTY,,1200 Block LEE STREET,,CHARLOTTESVILLE,VA,22908,,38.0311849,-78.4988225,12/20/17 18:23,12/20/17 22:16,POINT (-78.4988225 38.0311849),4,Friday,Property Crime,
829425591,2016-00000436,4/15/16 18:45,TRESPASS ON REAL PROPERTY,TRESPASS ON REAL PROPERTY,,600 Block MCCORMICK RD,,CHARLOTTESVILLE,VA,22903,,38.0332457,-78.5213235,12/20/17 18:23,12/20/17 22:16,POINT (-78.5213235 38.03324569999999),18,Friday,Property Crime,361237
829425594,2016-00000449,4/17/16 22:15,TRESPASS ON REAL PROPERTY,TRESPASS ON REAL PROPERTY,,400 Block FARRISH CIRCLE,,CHARLOTTESVILLE,VA,22903,,38.0473424,-78.5106621,12/20/17 18:23,12/20/17 22:16,POINT (-78.51066209999999 38.0473424),22,Sunday,Property Crime,361237
829425593,2016-00000451,4/18/16 14:50,TRESPASS ON REAL PROPERTY,TRESPASS ON REAL PROPERTY,,100 Block MCCORMICK RD,,CHARLOTTESVILLE,VA,22903,,38.0366948,-78.505187,12/20/17 18:23,12/20/17 22:16,POINT (-78.50518699999999 38.0366948),14,Monday,Property Crime,361237
829424779,2016-00000454,4/19/16 13:29,THEFT FROM BUILDING,THEFT FROM BUILDING,,100 Block MCCORMICK RD,,CHARLOTTESVILLE,VA,22903,,38.0366948,-78.505187,12/20/17 18:23,12/20/17 22:16,POINT (-78.50518699999999 38.0366948),13,Tuesday,Theft,361237
829424778,2016-00000456,4/19/16 19:56,THEFT FROM BUILDING,THEFT FROM BUILDING,,1200 Block LEE ST,,CHARLOTTESVILLE,VA,22908,,38.0311849,-78.4988225,12/20/17 18:23,12/20/17 22:16,POINT (-78.4988225 38.0311849),19,Tuesday,Theft,
829425590,2016-00000483,4/24/16 3:13,TRESPASS ON REAL PROPERTY,TRESPASS ON REAL PROPERTY,,1800 Block UNIVERSITY AVENUE,,CHARLOTTESVILLE,VA,22903,,38.034081,-78.504633,12/20/17 18:23,12/20/17 22:16,POINT (-78.504633 38.034081),3,Sunday,Property Crime,361237
829424953,2016-00000485,4/24/16 14:44,LARCENY:OTHER,LARCENY:OTHER,,500 Block MCCORMICK ROAD,,CHARLOTTESVILLE,VA,22904,,38.0345108,-78.5174329,12/20/17 18:23,12/20/17 22:16,POINT (-78.5174329 38.0345108),14,Sunday,Theft,361237
829424952,2016-00000488,4/25/16 14:34,LARCENY:OTHER,LARCENY:OTHER,,300 Block MCCORMICK ROAD,,CHARLOTTESVILLE,VA,22903,,38.0337644,-78.5100433,12/20/17 18:23,12/20/17 22:16,POINT (-78.5100433 38.0337644),14,Monday,Theft,361237
829425588,2016-00000491,4/26/16 3:15,TRESPASS ON REAL PROPERTY,TRESPASS ON REAL PROPERTY,,100 Block EMMET ST N,,CHARLOTTESVILLE,VA,22903,,38.040554,-78.506108,12/20/17 18:23,12/20/17 22:16,POINT (-78.506108 38.040554),3,Tuesday,Property Crime,
829425587,2016-00000492,4/26/16 4:50,TRESPASS ON REAL PROPERTY,TRESPASS ON REAL PROPERTY,,100 Block EMMET ST N,,CHARLOTTESVILLE,VA,22903,,38.040554,-78.506108,12/20/17 18:23,12/20/17 22:16,POINT (-78.506108 38.040554),4,Tuesday,Property Crime,
829425589,2016-00000498,4/27/16 18:25,TRESPASS ON REAL PROPERTY,TRESPASS ON REAL PROPERTY,,100 Block MCCORMICK ROAD,,CHARLOTTESVILLE,VA,22903,,38.0351778,-78.5054354,12/20/17 18:23,12/20/17 22:16,POINT (-78.5054354 38.0351778),18,Wednesday,Property Crime,361237
829424951,2016-00000500,4/27/16 20:31,LARCENY:OTHER,LARCENY:OTHER,,ECHOLS HOUSE,,CHARLOTTESVILLE,VA,,,38.0335529,-78.5079772,12/20/17 18:23,12/20/17 22:16,POINT (-78.5079772 38.0335529),20,Wednesday,Theft,361237
829425584,2016-00000507,4/28/16 22:21,TRESPASS ON REAL PROPERTY,TRESPASS ON REAL PROPERTY,,100 Block MCCORMICK RD,,CHARLOTTESVILLE,VA,22903,,38.0351778,-78.5054354,12/20/17 18:23,12/20/17 22:16,POINT (-78.5054354 38.0351778),22,Thursday,Property Crime,361237
829424947,2016-00000506,4/28/16 23:10,LARCENY:OTHER,LARCENY:OTHER,,500 Block MCCORMICK RD,,CHARLOTTESVILLE,VA,22904,,38.0348323,-78.5150632,12/20/17 18:23,12/20/17 22:16,POINT (-78.5150632 38.0348323),23,Thursday,Theft,361237
829425240,2016-00000510,4/29/16 13:06,DRUG/NARCOTICS VIOLATIONS,DRUG/NARCOTICS VIOLATIONS,,100 Block CRESAP ROAD,,CHARLOTTESVILLE,VA,22903,,38.0399507,-78.5083155,12/20/17 18:23,12/20/17 22:16,POINT (-78.5083155 38.0399507),13,Friday,Drugs,
829424462,2016-00000515,4/30/16 17:12,SIMPLE ASSAULT,SIMPLE ASSAULT,,1 Block WEST RANGE,,CHARLOTTESVILLE,VA,22903,,38.0347566,-78.5015299,12/20/17 18:23,12/20/17 22:16,POINT (-78.5015299 38.0347566),17,Saturday,Assault,361237
829424948,2016-00000520,5/1/16 20:13,LARCENY:OTHER,LARCENY:OTHER,,100 Block CULBRETH RD,,CHARLOTTESVILLE,VA,22903,,38.0394778,-78.5038805,12/20/17 18:23,12/20/17 22:16,POINT (-78.5038805 38.0394778),20,Sunday,Theft,361237
829425585,2016-00000532,5/4/16 4:50,TRESPASS ON REAL PROPERTY,TRESPASS ON REAL PROPERTY,,1800 Block STADIUM ROAD,,CHARLOTTESVILLE,VA,22903,,38.030822,-78.513229,12/20/17 18:23,12/20/17 22:16,POINT (-78.513229 38.030822),4,Wednesday,Property Crime,361237
829425586,2016-00000531,5/4/16 6:31,TRESPASS ON REAL PROPERTY,TRESPASS ON REAL PROPERTY,,1800 Block STADIUM ROAD,,CHARLOTTESVILLE,VA,22903,,38.030822,-78.513229,12/20/17 18:23,12/20/17 22:16,POINT (-78.513229 38.030822),6,Wednesday,Property Crime,361237
829424949,2016-00000536,5/4/16 22:11,LARCENY:OTHER,LARCENY:OTHER,,1200 Block LEE ST,,CHARLOTTESVILLE,VA,22908,,38.0311849,-78.4988225,12/20/17 18:23,12/20/17 22:16,POINT (-78.4988225 38.0311849),22,Wednesday,Theft,
829424626,2016-00000537,5/5/16 8:11,BURGLARY/B&E,BURGLARY/B&E,,500 Block FLOYD DRIVE,,CHARLOTTESVILLE,VA,22903,,38.0295235,-78.5178057,12/20/17 18:23,12/20/17 22:16,POINT (-78.5178057 38.0295235),8,Thursday,Breaking & Entering,361237
829424780,2016-00000539,5/5/16 13:00,THEFT FROM BUILDING,THEFT FROM BUILDING,,2500 Block STADIUM ROAD,,CHARLOTTESVILLE,VA,22903,,38.029105,-78.521101,12/20/17 18:23,12/20/17 22:16,POINT (-78.521101 38.02910500000001),13,Thursday,Theft,361237
829425603,2016-00000554,5/10/16 3:45,TRESPASS ON REAL PROPERTY,TRESPASS ON REAL PROPERTY,,1800 Block UNIVERSITY AVE,,CHARLOTTESVILLE,VA,22903,,38.034081,-78.504633,12/20/17 18:23,12/20/17 22:16,POINT (-78.504633 38.034081),3,Tuesday,Property Crime,361237
829424757,2016-00000555,5/10/16 10:31,THEFT FROM BUILDING,THEFT FROM BUILDING,,1100 Block W. MAIN,,CHARLOTTESVILLE,VA,22903,,38.0334427,-78.4959011,12/20/17 18:23,12/20/17 22:16,POINT (-78.4959011 38.03344269999999),10,Tuesday,Theft,
829424758,2016-00000556,5/10/16 10:31,THEFT FROM BUILDING,THEFT FROM BUILDING,,1100 Block W. MAIN,,CHARLOTTESVILLE,VA,22903,,38.0334427,-78.4959011,12/20/17 18:23,12/20/17 22:16,POINT (-78.4959011 38.03344269999999),10,Tuesday,Theft,
829425234,2016-00000557,5/10/16 15:03,DRUG/NARCOTICS VIOLATIONS,DRUG/NARCOTICS VIOLATIONS,,100 Block CRESAP RD,,CHARLOTTESVILLE,VA,22903,,38.0399507,-78.5083155,12/20/17 18:23,12/20/17 22:16,POINT (-78.5083155 38.0399507),15,Tuesday,Drugs,
829424759,2016-00000559,5/11/16 5:33,THEFT FROM BUILDING,THEFT FROM BUILDING,,1200 Block LEE ST,,CHARLOTTESVILLE,VA,22908,,38.0311849,-78.4988225,12/20/17 18:23,12/20/17 22:16,POINT (-78.4988225 38.0311849),5,Wednesday,Theft,
829425606,2016-00000560,5/11/16 6:30,TRESPASS ON REAL PROPERTY,TRESPASS ON REAL PROPERTY,,1800 Block STADIUM ROAD,,CHARLOTTESVILLE,VA,22903,,38.030822,-78.513229,12/20/17 18:23,12/20/17 22:16,POINT (-78.513229 38.030822),6,Wednesday,Property Crime,361237
829425605,2016-00000562,5/11/16 7:41,TRESPASS ON REAL PROPERTY,TRESPASS ON REAL PROPERTY,,1800 Block STADIUM ROAD,,CHARLOTTESVILLE,VA,22903,,38.030822,-78.513229,12/20/17 18:23,12/20/17 22:16,POINT (-78.513229 38.030822),7,Wednesday,Property Crime,361237
829424935,2016-00000564,5/11/16 15:10,LARCENY:OTHER,LARCENY:OTHER,,400 Block WHITEHEAD RD,,CHARLOTTESVILLE,VA,22904,,38.0328803,-78.5134903,12/20/17 18:23,12/20/17 22:16,POINT (-78.5134903 38.0328803),15,Wednesday,Theft,361237
829424456,2016-00000566,5/11/16 21:47,SIMPLE ASSAULT,SIMPLE ASSAULT,,1200 Block LEE ST,,CHARLOTTESVILLE,VA,22908,,38.0311849,-78.4988225,12/20/17 18:23,12/20/17 22:16,POINT (-78.4988225 38.0311849),21,Wednesday,Assault,
829425607,2016-00000567,5/12/16 5:25,TRESPASS ON REAL PROPERTY,TRESPASS ON REAL PROPERTY,,1800 Block STADIUM ROAD,,CHARLOTTESVILLE,VA,22903,,38.030822,-78.513229,12/20/17 18:23,12/20/17 22:16,POINT (-78.513229 38.030822),5,Thursday,Property Crime,361237
829425236,2016-00000569,5/12/16 5:54,DRUG/NARCOTICS VIOLATIONS,DRUG/NARCOTICS VIOLATIONS,,400 Block BRANDON AVENUE,,CHARLOTTESVILLE,VA,22903,,38.031557,-78.5033683,12/20/17 18:23,12/20/17 22:16,POINT (-78.50336829999999 38.031557),5,Thursday,Drugs,
829425604,2016-00000568,5/12/16 6:58,TRESPASS ON REAL PROPERTY,TRESPASS ON REAL PROPERTY,,1800 Block STADIUM ROAD,,CHARLOTTESVILLE,VA,22903,,38.030822,-78.513229,12/20/17 18:23,12/20/17 22:16,POINT (-78.513229 38.030822),6,Thursday,Property Crime,361237
829424934,2016-00000572,5/12/16 15:05,LARCENY:OTHER,LARCENY:OTHER,,300 Block MCCORMICK ROAD,,CHARLOTTESVILLE,VA,22903,,38.0337644,-78.5100433,12/20/17 18:23,12/20/17 22:16,POINT (-78.5100433 38.0337644),15,Thursday,Theft,361237
829424756,2016-00000578,5/13/16 17:45,THEFT FROM BUILDING,THEFT FROM BUILDING,,200 Block HEREFORD DR,,CHARLOTTESVILLE,VA,22903,,38.0307059,-78.5189581,12/20/17 18:23,12/20/17 22:16,POINT (-78.51895809999999 38.0307059),17,Friday,Theft,361237
829425601,2016-00000580,5/14/16 3:27,TRESPASS ON REAL PROPERTY,TRESPASS ON REAL PROPERTY,,1800 Block STADIUM ROAD,,CHARLOTTESVILLE,VA,22903,,38.030822,-78.513229,12/20/17 18:23,12/20/17 22:16,POINT (-78.513229 38.030822),3,Saturday,Property Crime,361237
829424620,2016-00000581,5/14/16 20:17,BURGLARY/B&E,BURGLARY/B&E,,1 Block HANCOCK DR,,CHARLOTTESVILLE,VA,22903,,38.036121,-78.5121034,12/20/17 18:23,12/20/17 22:16,POINT (-78.5121034 38.036121),20,Saturday,Breaking & Entering,361237
829425283,2016-00000583,5/15/16 2:35,DISORDERLY CONDUCT,DISORDERLY CONDUCT,,1500 Block UNIVERSITY AVE,,CHARLOTTESVILLE,VA,22903,,38.0347522,-78.5004787,12/20/17 18:23,12/20/17 22:16,POINT (-78.5004787 38.0347522),2,Sunday,Disorder,
829424755,2016-00000586,5/16/16 18:38,THEFT FROM BUILDING,THEFT FROM BUILDING,,400 Block WHITEHEAD ROAD,,CHARLOTTESVILLE,VA,22904,,38.0328803,-78.5134903,12/20/17 18:23,12/20/17 22:16,POINT (-78.5134903 38.0328803),18,Monday,Theft,361237
829425602,2016-00000592,5/18/16 3:28,TRESPASS ON REAL PROPERTY,TRESPASS ON REAL PROPERTY,,1800 Block UNIVERSITY AVENUE,,CHARLOTTESVILLE,VA,22903,,38.034081,-78.504633,12/20/17 18:23,12/20/17 22:16,POINT (-78.504633 38.034081),3,Wednesday,Property Crime,361237
829424821,2016-00000599,5/19/16 22:47,THEFT FROM MOTOR VEHICLE,THEFT FROM MOTOR VEHICLE,,LEE STREET PARKING GARAGE,,CHARLOTTESVILLE,VA,22903,,38.0323225,-78.4970515,12/20/17 18:23,12/20/17 22:16,POINT (-78.4970515 38.0323225),22,Thursday,Theft from Vehicle,
829425233,2016-00000601,5/20/16 1:29,DRUG/NARCOTICS VIOLATIONS,DRUG/NARCOTICS VIOLATIONS,,1200 Block LEE STREET,,CHARLOTTESVILLE,VA,22908,,38.0311849,-78.4988225,12/20/17 18:23,12/20/17 22:16,POINT (-78.4988225 38.0311849),1,Friday,Drugs,
829424454,2016-00000602,5/20/16 5:00,SIMPLE ASSAULT,SIMPLE ASSAULT,,1200 Block LEE STREET,,CHARLOTTESVILLE,VA,22908,,38.0311849,-78.4988225,12/20/17 18:23,12/20/17 22:16,POINT (-78.4988225 38.0311849),5,Friday,Assault,
